OrderID,Order Year,Order Quarter,Order Month,Order Day,Customer Name,Customer Country,Customer City,ProductName,Product CategoryName,Quantity,UnitPrice in USD,Unit Discount in %,UnitCost in USD,Shipper Name,Freight Cost (Paid by Customer)
10248,2018,Qtr 1,January,30,Dr Jims Trousers,UK,London,Desperado Jeans,Men's Clothes,12,28.62,0,21.1,SafeAndFast,175.93
10248,2018,Qtr 1,January,30,Dr Jims Trousers,UK,London,Oyaki Kimono,Women's Clothes,5,12.71,0,8.96,SafeAndFast,175.93
10248,2018,Qtr 1,January,30,Dr Jims Trousers,UK,London,Walking Shoes,Women's Footwear,10,14.04,0,10.95,SafeAndFast,175.93
10249,2017,Qtr 1,January,29,Boombastic,Germany,Münster,Kool Sunglasses,Children's Clothes,9,22.8,0,20.36,SafeAndFast,1204.8
10249,2017,Qtr 1,January,29,Boombastic,Germany,Münster,Summit Hiking Boots,Men's Footwear,40,101.2,0,82.74,SafeAndFast,1204.8
10250,2018,Qtr 1,February,3,El Carnevale,Brazil,Rio de Janeiro,Duck Shirt,Baby Clothes,10,9.59,0,7.28,SafeAndFast,825.07
10250,2018,Qtr 1,February,3,El Carnevale,Brazil,Rio de Janeiro,Stretch Pants,Women's Clothes,15,9.47,0.150000006,8.68,SafeAndFast,825.07
10250,2018,Qtr 1,February,3,El Carnevale,Brazil,Rio de Janeiro,Summit Hiking Boots,Men's Footwear,35,97.67,0.150000006,82.74,SafeAndFast,825.07
10251,2017,Qtr 3,July,4,Eintrach GS,Germany,Berlin,Lightweight Sandals,Women's Footwear,15,21.12,0.050000001,16.14,SafeAndFast,1883.1
10251,2017,Qtr 3,July,4,Eintrach GS,Germany,Berlin,Ravellis Träskor,Women's Footwear,6,3.39,0.050000001,2.65,SafeAndFast,1883.1
10251,2017,Qtr 3,July,4,Eintrach GS,Germany,Berlin,Stretch Pants,Women's Clothes,20,9.26,0,8.68,SafeAndFast,1883.1
10252,2017,Qtr 4,November,5,Belgium Black Jeans,Belgium,Charleroi,Casual Boots,Sportswear,25,23.64,0.050000001,20.2,Quik Shipping,246.1
10252,2017,Qtr 4,November,5,Belgium Black Jeans,Belgium,Charleroi,Game Over T-Shirt,Sportswear,40,4.55,0,4.44,Quik Shipping,246.1
10252,2017,Qtr 4,November,5,Belgium Black Jeans,Belgium,Charleroi,Tennis Suit,Sportswear,40,75.93,0.050000001,64.49,Quik Shipping,246.1
10253,2018,Qtr 1,February,5,El Carnevale,Brazil,Rio de Janeiro,Finnish Sport Blades,Sportswear,40,19.91,0,15.43,SafeAndFast,825.07
10253,2018,Qtr 1,February,5,El Carnevale,Brazil,Rio de Janeiro,Rossi Bermuda Shorts,Men's Clothes,20,8.28,0,7.53,SafeAndFast,825.07
10253,2018,Qtr 1,February,5,El Carnevale,Brazil,Rio de Janeiro,Terence Top,Women's Clothes,42,57.95,0,48.17,SafeAndFast,825.07
10254,2016,Qtr 3,August,8,Th Fashing,UK,London,Feiss Fleece Trousers,Sportswear,21,40.76,0.150000006,33.18,SafeAndFast,2195.07
10254,2016,Qtr 3,August,8,Th Fashing,UK,London,Samba Soccer Socks,Men's Clothes,15,4.52,0.150000006,3.9,SafeAndFast,2195.07
10254,2016,Qtr 3,August,8,Th Fashing,UK,London,X-Train Shoes,Children's Clothes,21,29.4,0,24.39,SafeAndFast,2195.07
10255,2018,Qtr 1,January,8,Golden Design Group,Switzerland,Genève,Mehmet-Tröja,Baby Clothes,25,7.77,0,6.45,Quik Shipping,244.87
10255,2018,Qtr 1,January,8,Golden Design Group,Switzerland,Genève,Mr2 Trousers,Men's Clothes,20,17.12,0,16.17,Quik Shipping,244.87
10255,2018,Qtr 1,January,8,Golden Design Group,Switzerland,Genève,Rasta WCT,Sportswear,30,7.83,0,6.69,Quik Shipping,244.87
10255,2018,Qtr 1,January,8,Golden Design Group,Switzerland,Genève,Wimbledon T-Shirt,Sportswear,35,9.17,0,7.33,Quik Shipping,244.87
10256,2017,Qtr 1,February,8,Th Fashing,UK,London,Jack Flash Dress,Women's Clothes,15,60.53,0,52.38,SafeAndFast,2195.07
10256,2017,Qtr 1,February,8,Th Fashing,UK,London,Wrap Skirt,Women's Clothes,12,13.5,0,10.95,SafeAndFast,2195.07
10257,2017,Qtr 1,February,9,El Zapato Rojo,Venezuela,San Cristóbal,Terence Top,Women's Clothes,6,54.84,0,48.17,SafeAndFast,966.71
10257,2017,Qtr 1,February,9,El Zapato Rojo,Venezuela,San Cristóbal,Tracksuit,Sportswear,25,43.09,0,36.06,SafeAndFast,966.71
10257,2017,Qtr 1,February,9,El Zapato Rojo,Venezuela,San Cristóbal,Wrap Skirt,Women's Clothes,15,12.84,0,10.95,SafeAndFast,966.71
10258,2018,Qtr 1,February,12,Gluderstedt,Germany,Aachen,Mr2 Trousers,Men's Clothes,50,20.02,0.200000003,16.17,SafeAndFast,983.84
10258,2018,Qtr 1,February,12,Gluderstedt,Germany,Aachen,O-Man Underwear,Men's Clothes,65,6.13,0.200000003,4.72,SafeAndFast,983.84
10258,2018,Qtr 1,February,12,Gluderstedt,Germany,Aachen,Riviera Swimsuit,Swimwear,6,19.35,0.200000003,15.12,SafeAndFast,983.84
10259,2016,Qtr 1,February,12,Los Sombreros Gigantes,Mexico,México D.F.,Basket Shoes,Sportswear,10,10.14,0,8.78,SafeAndFast,30.11
10259,2016,Qtr 1,February,12,Los Sombreros Gigantes,Mexico,México D.F.,Mehmet-Skor,Baby Clothes,1,4.37,0,3.43,SafeAndFast,30.11
10260,2017,Qtr 3,July,15,Casual Clothing,Germany,Köln,Duck Shirt,Baby Clothes,16,10.02,0.25,7.28,SafeAndFast,549.79
10260,2017,Qtr 3,July,15,Casual Clothing,Germany,Köln,Lace Shoes,Sportswear,15,28.82,0.25,25.39,SafeAndFast,549.79
10260,2017,Qtr 3,July,15,Casual Clothing,Germany,Köln,Lightweight Sandals,Women's Footwear,50,18.58,0,16.14,SafeAndFast,549.79
10260,2017,Qtr 3,July,15,Casual Clothing,Germany,Köln,US-Master Jeans,Men's Clothes,21,29.37,0.25,24.98,SafeAndFast,549.79
10261,2018,Qtr 1,February,14,Copacabana,Brazil,Rio de Janeiro,Basket Shoes,Sportswear,20,10.01,0,8.78,SafeAndFast,308.94
10261,2018,Qtr 1,February,14,Copacabana,Brazil,Rio de Janeiro,LA. Shorts,Swimwear,20,6.56,0,5.17,SafeAndFast,308.94
10262,2014,Qtr 4,December,18,X-Site,USA,Albuquerque,O-Man Underwear,Men's Clothes,12,5.58,0.200000003,4.72,SafeAndFast,139.55
10262,2014,Qtr 4,December,18,X-Site,USA,Albuquerque,Runner Shoes,Children's Clothes,15,38.3,0,33.11,SafeAndFast,139.55
10262,2014,Qtr 4,December,18,X-Site,USA,Albuquerque,Slip-on Shoes,Women's Footwear,2,34.55,0,34.17,SafeAndFast,139.55
10263,2018,Qtr 1,February,18,Grunewald,Germany,Cunewalde,Baby Dark Lounge Suit,Baby Clothes,60,26.57,0.25,22.71,SafeAndFast,1774.84
10263,2018,Qtr 1,February,18,Grunewald,Germany,Cunewalde,Samba Soccer Socks,Men's Clothes,28,4.09,0,3.9,SafeAndFast,1774.84
10263,2018,Qtr 1,February,18,Grunewald,Germany,Cunewalde,Wimbledon T-Shirt,Sportswear,60,9.46,0.25,7.33,SafeAndFast,1774.84
10263,2018,Qtr 1,February,18,Grunewald,Germany,Cunewalde,X-Train Shoes,Children's Clothes,36,27.87,0.25,24.39,SafeAndFast,1774.84
10264,2017,Qtr 1,February,17,Gluderstedt,Germany,Aachen,Duck Shirt,Baby Clothes,25,9.55,0.150000006,7.28,SafeAndFast,983.84
10264,2017,Qtr 1,February,17,Gluderstedt,Germany,Aachen,Mr2 Trousers,Men's Clothes,35,20.55,0,16.17,SafeAndFast,983.84
10265,2017,Qtr 1,February,18,Menàge à Trois,France,Strasbourg,TieBreak Tennis shoes,Men's Footwear,30,23.9,0,19.35,Quik Shipping,588.2
10265,2017,Qtr 1,February,18,Menàge à Trois,France,Strasbourg,US-Master Jeans,Men's Clothes,20,27.81,0,24.98,Quik Shipping,588.2
10266,2018,Qtr 1,February,21,Perkii Urkii,Finland,Oulu,Tank Swimsuit,Swimwear,12,10.16,0.050000001,7.92,SafeAndFast,315.63
10267,2017,Qtr 3,August,25,Halle Köln,Germany,München,Borat Mankini Swimsuit,Men's Clothes,15,368.51,0.150000006,304.7,SafeAndFast,784.9
10267,2017,Qtr 3,August,25,Halle Köln,Germany,München,Duck Trousers,Baby Clothes,50,18.71,0,16.34,SafeAndFast,784.9
10267,2017,Qtr 3,August,25,Halle Köln,Germany,München,Rasta WCT,Sportswear,70,8.66,0.150000006,6.69,SafeAndFast,784.9
10268,2015,Qtr 1,February,25,El Abrigo Mortal,Venezuela,Caracas,Davenport Shoes,Men's Footwear,10,117.3,0,100.74,SafeAndFast,160.74
10268,2015,Qtr 1,February,25,El Abrigo Mortal,Venezuela,Caracas,Oyaki Kimono,Women's Clothes,4,12.64,0,8.96,SafeAndFast,160.74
10269,2015,Qtr 4,November,26,Nirvana Stores,USA,Seattle,Casual Boots,Sportswear,60,27.4,0.050000001,20.2,SafeAndFast,604.82
10269,2015,Qtr 4,November,26,Nirvana Stores,USA,Seattle,Oyaki Kimono,Women's Clothes,20,12.17,0.050000001,8.96,SafeAndFast,604.82
10270,2018,Qtr 1,February,27,Perkii Urkii,Finland,Oulu,Mehmet-Tröja,Baby Clothes,30,7.78,0,6.45,SafeAndFast,315.63
10270,2018,Qtr 1,February,27,Perkii Urkii,Finland,Oulu,Summer Shorts,Swimwear,25,13.06,0,10.48,SafeAndFast,315.63
10271,2015,Qtr 3,July,9,Boleros,Ireland,Cork,Casual Boots,Sportswear,24,24.06,0,20.2,SafeAndFast,2544.25
10272,2015,Qtr 4,December,28,X-Site,USA,Albuquerque,Oyaki Kimono,Women's Clothes,24,11.76,0,8.96,SafeAndFast,139.55
10272,2015,Qtr 4,December,28,X-Site,USA,Albuquerque,Rossi Bermuda Shorts,Men's Clothes,40,7.81,0,7.53,SafeAndFast,139.55
10272,2015,Qtr 4,December,28,X-Site,USA,Albuquerque,Tennis Suit,Sportswear,6,88.25,0,64.49,SafeAndFast,139.55
10273,2017,Qtr 2,May,1,Grunewald,Germany,Cunewalde,Borat Mankini Swimsuit,Men's Clothes,33,412.16,0.050000001,304.7,SafeAndFast,1774.84
10273,2017,Qtr 2,May,1,Grunewald,Germany,Cunewalde,Casual Boots,Sportswear,20,25.45,0,20.2,SafeAndFast,1774.84
10273,2017,Qtr 2,May,1,Grunewald,Germany,Cunewalde,Duck Trousers,Baby Clothes,60,19.35,0.050000001,16.34,SafeAndFast,1774.84
10273,2017,Qtr 2,May,1,Grunewald,Germany,Cunewalde,Rossi Bermuda Shorts,Men's Clothes,15,8.95,0.050000001,7.53,SafeAndFast,1774.84
10273,2017,Qtr 2,May,1,Grunewald,Germany,Cunewalde,Sapporoo Gloves,Baby Clothes,24,6.88,0.050000001,6.2,SafeAndFast,1774.84
10274,2018,Qtr 1,March,4,Pour l´homme,France,Reims,Atles Lussekofta,Men's Clothes,20,31.17,0,26.49,Quik Shipping,35.09
10274,2018,Qtr 1,March,4,Pour l´homme,France,Reims,Oyaki Kimono,Women's Clothes,7,11.99,0,8.96,Quik Shipping,35.09
10275,2017,Qtr 1,March,3,Rode & Vite,Denmark,København,Rasta WCT,Sportswear,6,8.92,0.050000001,6.69,SafeAndFast,1426.24
10275,2017,Qtr 1,March,3,Rode & Vite,Denmark,København,Samba Soccer Socks,Men's Clothes,12,4.12,0.050000001,3.9,SafeAndFast,1426.24
10276,2015,Qtr 2,May,5,Don Balón,Mexico,México D.F.,Aino Shoes,Baby Clothes,10,27.45,0,21.11,World Wide Transports,1192.26
10276,2015,Qtr 2,May,5,Don Balón,Mexico,México D.F.,Sapporoo Gloves,Baby Clothes,15,6.92,0,6.2,World Wide Transports,1192.26
10277,2018,Qtr 1,March,7,Eintrach GS,Germany,Berlin,Lace Shoes,Sportswear,12,30.08,0,25.39,SafeAndFast,1883.1
10277,2018,Qtr 1,March,7,Eintrach GS,Germany,Berlin,RDL Suit,Children's Clothes,20,44.48,0,36.81,SafeAndFast,1883.1
10278,2015,Qtr 1,March,9,Urras Shop,Sweden,Luleå,Mehmet-Napp,Baby Clothes,25,1.07,0,0.89,SafeAndFast,811.68
10278,2015,Qtr 1,March,9,Urras Shop,Sweden,Luleå,Okkaba Skin Jackets,Women's Clothes,16,80.78,0,67.17,SafeAndFast,811.68
10278,2015,Qtr 1,March,9,Urras Shop,Sweden,Luleå,Rasta WCT,Sportswear,15,8.57,0,6.69,SafeAndFast,811.68
10278,2015,Qtr 1,March,9,Urras Shop,Sweden,Luleå,Serve-Shirt,Women's Clothes,8,21.02,0,15.9,SafeAndFast,811.68
10279,2017,Qtr 1,March,9,Warp AG,Germany,Frankfurt a.M.,TieBreak Tennis shoes,Men's Footwear,15,27.02,0.25,19.35,SafeAndFast,1460.44
10280,2015,Qtr 3,July,11,Urras Shop,Sweden,Luleå,Bow tie,Men's Clothes,30,7.21,0,6.61,SafeAndFast,811.68
10280,2015,Qtr 3,July,11,Urras Shop,Sweden,Luleå,Feiss Fleece Trousers,Sportswear,20,42.47,0,33.18,SafeAndFast,811.68
10280,2015,Qtr 3,July,11,Urras Shop,Sweden,Luleå,Samba Soccer Socks,Men's Clothes,12,4.25,0,3.9,SafeAndFast,811.68
10281,2017,Qtr 1,March,10,La Moda Alucinante,Spain,Madrid,LA. Shorts,Swimwear,4,6.37,0,5.17,Quik Shipping,165.09
10281,2017,Qtr 1,March,10,La Moda Alucinante,Spain,Madrid,Samba Soccer Socks,Men's Clothes,6,4.18,0,3.9,Quik Shipping,165.09
10281,2017,Qtr 1,March,10,La Moda Alucinante,Spain,Madrid,Squash Shorts,Sportswear,1,9.9,0,7.4,Quik Shipping,165.09
10282,2017,Qtr 1,March,11,La Moda Alucinante,Spain,Madrid,Baby Dark Lounge Suit,Baby Clothes,6,26.38,0,22.71,Quik Shipping,165.09
10282,2017,Qtr 1,March,11,La Moda Alucinante,Spain,Madrid,Lightweight Sandals,Women's Footwear,2,21.02,0,16.14,Quik Shipping,165.09
10283,2018,Qtr 1,March,14,Los Vatos Locos,Venezuela,Barquisimeto,Game Over T-Shirt,Sportswear,35,5.18,0,4.44,SafeAndFast,536.66
10283,2018,Qtr 1,March,14,Los Vatos Locos,Venezuela,Barquisimeto,Oyaki Kimono,Women's Clothes,3,11.66,0,8.96,SafeAndFast,536.66
10283,2018,Qtr 1,March,14,Los Vatos Locos,Venezuela,Barquisimeto,Squash Shorts,Sportswear,18,9.18,0,7.4,SafeAndFast,536.66
10283,2018,Qtr 1,March,14,Los Vatos Locos,Venezuela,Barquisimeto,Sumi Underwear,Women's Clothes,20,6.53,0,4.98,SafeAndFast,536.66
10284,2017,Qtr 1,March,15,Warp AG,Germany,Frankfurt a.M.,Game Over T-Shirt,Sportswear,20,4.73,0.25,4.44,SafeAndFast,1460.44
10284,2017,Qtr 1,March,15,Warp AG,Germany,Frankfurt a.M.,Minnki Pälsii,Women's Clothes,5,64.07,0.25,46.1,SafeAndFast,1460.44
10284,2017,Qtr 1,March,15,Warp AG,Germany,Frankfurt a.M.,Okkaba Skin Jackets,Women's Clothes,21,68.37,0,67.17,SafeAndFast,1460.44
10284,2017,Qtr 1,March,15,Warp AG,Germany,Frankfurt a.M.,Tracksuit,Sportswear,15,43.03,0.25,36.06,SafeAndFast,1460.44
10285,2016,Qtr 1,March,17,Grunewald,Germany,Cunewalde,Duck Trousers,Baby Clothes,40,17.22,0.200000003,16.34,SafeAndFast,1774.84
10285,2016,Qtr 1,March,17,Grunewald,Germany,Cunewalde,Jack Flash Dress,Women's Clothes,36,60.96,0.200000003,52.38,SafeAndFast,1774.84
10285,2016,Qtr 1,March,17,Grunewald,Germany,Cunewalde,Lenin Jeansshorts,Men's Clothes,45,19.72,0.200000003,15.37,SafeAndFast,1774.84
10286,2015,Qtr 1,January,17,Grunewald,Germany,Cunewalde,LA. Shorts,Swimwear,100,6.06,0,5.17,SafeAndFast,1774.84
10286,2015,Qtr 1,January,17,Grunewald,Germany,Cunewalde,Lace Shoes,Sportswear,40,30.28,0,25.39,SafeAndFast,1774.84
10287,2015,Qtr 1,January,18,Da Bikini Expertu,Brazil,Rio de Janeiro,Baywatch Swimsuit,Swimwear,20,7.67,0,6.76,SafeAndFast,237.23
10287,2015,Qtr 1,January,18,Da Bikini Expertu,Brazil,Rio de Janeiro,Rodbye Troje,Baby Clothes,15,12.23,0.150000006,9.07,SafeAndFast,237.23
10287,2015,Qtr 1,January,18,Da Bikini Expertu,Brazil,Rio de Janeiro,Wimbledon T-Shirt,Sportswear,40,8.88,0.150000006,7.33,SafeAndFast,237.23
10288,2017,Qtr 1,March,19,Sport Shop,Italy,Reggio Emilia,Cap,Sportswear,3,11.76,0.100000001,9.67,Quik Shipping,245.48
10288,2017,Qtr 1,March,19,Sport Shop,Italy,Reggio Emilia,Patamonia Fleece Jacket,Sportswear,10,33.62,0.100000001,30.27,Quik Shipping,245.48
10289,2017,Qtr 1,March,22,Eintrach GS,Germany,Berlin,Chantell Shirt,Women's Clothes,30,20.54,0,15.45,SafeAndFast,1883.1
10289,2017,Qtr 1,March,22,Eintrach GS,Germany,Berlin,WFS Shoes,Women's Footwear,9,35.6,0,29.25,SafeAndFast,1883.1
10290,2018,Qtr 1,March,25,Eintrach GS,Germany,Berlin,Davenport Shoes,Men's Footwear,15,126.03,0,100.74,SafeAndFast,1883.1
10290,2018,Qtr 1,March,25,Eintrach GS,Germany,Berlin,Finnish Sport Blades,Sportswear,15,19.66,0,15.43,SafeAndFast,1883.1
10290,2018,Qtr 1,March,25,Eintrach GS,Germany,Berlin,O-Man Underwear,Men's Clothes,20,6.57,0,4.72,SafeAndFast,1883.1
10290,2018,Qtr 1,March,25,Eintrach GS,Germany,Berlin,Wrap Skirt,Women's Clothes,10,13.49,0,10.95,SafeAndFast,1883.1
10291,2015,Qtr 1,March,24,Copacabana,Brazil,Rio de Janeiro,Aino Shoes,Baby Clothes,20,23.03,0.100000001,21.11,SafeAndFast,308.94
10291,2015,Qtr 1,March,24,Copacabana,Brazil,Rio de Janeiro,Okkaba Skin Jackets,Women's Clothes,24,82.68,0.100000001,67.17,SafeAndFast,308.94
10291,2015,Qtr 1,March,24,Copacabana,Brazil,Rio de Janeiro,Summit Hiking Boots,Men's Footwear,2,106.56,0.100000001,82.74,SafeAndFast,308.94
10292,2017,Qtr 1,March,24,Merced do Vaile,Brazil,São Paulo,Tennis Suit,Sportswear,20,84.07,0,64.49,SafeAndFast,406.9
10293,2018,Qtr 1,January,25,Don Balón,Mexico,México D.F.,Bow tie,Men's Clothes,6,7.6,0,6.61,World Wide Transports,1192.26
10293,2018,Qtr 1,January,25,Don Balón,Mexico,México D.F.,Deuce Shirt,Baby Clothes,12,27.38,0,22.09,World Wide Transports,1192.26
10293,2018,Qtr 1,January,25,Don Balón,Mexico,México D.F.,Samba Soccer Socks,Men's Clothes,10,4.11,0,3.9,World Wide Transports,1192.26
10293,2018,Qtr 1,January,25,Don Balón,Mexico,México D.F.,Serve-Shirt,Women's Clothes,5,21.06,0,15.9,World Wide Transports,1192.26
10294,2017,Qtr 4,November,26,Th Fashing,UK,London,Bow tie,Men's Clothes,6,8.22,0,6.61,SafeAndFast,2195.07
10294,2017,Qtr 4,November,26,Th Fashing,UK,London,Game Over T-Shirt,Sportswear,21,4.56,0,4.44,SafeAndFast,2195.07
10294,2017,Qtr 4,November,26,Th Fashing,UK,London,Lenin Jeansshorts,Men's Clothes,18,21.66,0,15.37,SafeAndFast,2195.07
10294,2017,Qtr 4,November,26,Th Fashing,UK,London,Summer Shorts,Swimwear,15,12.9,0,10.48,SafeAndFast,2195.07
10294,2017,Qtr 4,November,26,Th Fashing,UK,London,TieBreak Tennis shoes,Men's Footwear,15,24.62,0,19.35,SafeAndFast,2195.07
10295,2018,Qtr 1,March,31,Boombastic,Germany,Münster,Slip-on Shoes,Women's Footwear,4,34.84,0,34.17,SafeAndFast,1204.8
10296,2015,Qtr 1,February,2,Los Vatos Locos,Venezuela,Barquisimeto,Desperado Jeans,Men's Clothes,12,26.62,0,21.1,SafeAndFast,536.66
10296,2015,Qtr 1,February,2,Los Vatos Locos,Venezuela,Barquisimeto,Tube Socks,Sportswear,15,1.89,0,1.65,SafeAndFast,536.66
